Date,02T,03T,05T,10T,11T,12T,59T,61T,50T,52T,53T,54T,08T,13T,14T,16T,17T,18T,19T,20T,21T,22T,24T,25T,26T,27T,28T,29T,30T,31T,32T,33T,34T,35T,36T,37T,38T,39T,40T,41T,42T,43T,46T,47T,60T,62T,63T,44T,57T,58T,67T,68T,69T,70T,71T,72T,73T,74T,75T,76T,77T
2/22/2016,41,48,N/A,59,46,48,43,45,N/A,N/A,20,51,N/A,42,41,N/A,42,51,46,N/A,55,67,98,79,56,43,65,27,39,N/A,49,59,48,65,84,92,71,72,88,62,44,35,127,143,56,38,40,45,79,80,79,91,99,N/A,N/A,94,77,56,68,N/A,N/A
2/23/2016,39,52,N/A,N/A,49,52,44,50,N/A,N/A,25,61,N/A,53,44,N/A,41,50,41,N/A,67,71,81,85,56,40,71,25,40,N/A,48,63,47,79,94,95,70,71,89,83,44,33,129,N/A,65,45,47,52,80,101,81,113,93,94,N/A,91,88,54,62,N/A,N/A
2/24/2016,47,50,N/A,N/A,51,65,53,57,N/A,N/A,26,75,N/A,56,42,N/A,44,62,51,N/A,69,80,N/A,95,62,43,69,28,46,N/A,58,66,57,84,94,100,72,82,116,95,47,43,48,65,63,44,46,51,74,102,57,83,96,96,N/A,51,90,N/A,52,N/A,N/A
2/25/2016,57,70,N/A,60,45,69,49,57,N/A,N/A,20,67,N/A,55,50,N/A,50,65,57,N/A,79,80,N/A,91,79,78,59,29,48,N/A,63,62,61,54,73,54,30,48,52,68,53,51,39,41,56,56,47,51,16,93,33,47,57,39,N/A,34,28,51,17,N/A,N/A
2/26/2016,54,73,N/A,55,48,62,47,52,N/A,N/A,19,65,N/A,55,67,N/A,48,61,63,N/A,60,79,N/A,77,97,109,60,27,47,54,57,61,58,20,33,38,34,22,39,65,39,35,37,44,N/A,54,45,48,9,62,29,33,44,15,N/A,39,16,52,15,N/A,N/A
2/27/2016,59,84,N/A,66,56,66,59,64,N/A,N/A,22,83,N/A,N/A,67,N/A,56,66,68,N/A,65,87,110,92,79,112,66,32,59,62,80,70,56,18,28,29,26,21,34,65,30,31,40,41,N/A,40,32,40,13,33,23,25,37,17,N/A,37,17,71,12,N/A,N/A
2/28/2016,82,95,N/A,75,71,79,75,84,N/A,N/A,23,103,N/A,75,78,N/A,70,82,82,N/A,80,106,114,83,100,111,82,36,72,73,75,83,68,15,28,25,26,17,29,80,31,24,50,53,N/A,57,43,42,17,43,24,24,36,15,N/A,45,22,70,16,N/A,N/A
2/29/2016,72,107,N/A,77,65,88,70,76,N/A,N/A,22,93,N/A,78,101,N/A,69,87,75,N/A,93,111,114,92,118,144,96,41,85,84,73,81,78,15,31,33,35,27,34,86,45,33,58,57,69,59,46,N/A,24,58,29,34,43,22,N/A,42,23,76,24,N/A,N/A
3/1/2016,N/A,85,N/A,75,59,74,66,73,N/A,N/A,21,90,N/A,69,71,N/A,67,75,89,N/A,97,86,117,94,118,107,86,39,72,82,97,94,81,31,53,62,60,55,69,91,42,52,70,64,73,57,51,53,33,61,45,49,68,37,N/A,63,36,68,31,N/A,N/A
3/2/2016,N/A,118,N/A,111,89,108,89,102,N/A,N/A,29,124,N/A,97,99,N/A,95,104,111,N/A,113,115,131,134,131,146,123,51,83,108,109,112,96,54,83,112,117,98,121,139,48,50,77,77,93,55,52,50,42,52,56,73,124,47,N/A,68,35,97,33,N/A,N/A
3/3/2016,88,101,N/A,101,96,108,93,98,N/A,N/A,29,129,N/A,106,117,N/A,82,104,101,N/A,128,124,180,148,146,157,128,45,84,108,106,121,117,72,107,143,150,126,161,175,50,37,77,91,108,57,50,51,62,59,75,88,172,79,N/A,79,62,105,49,N/A,N/A
3/4/2016,52,65,N/A,64,63,69,57,60,N/A,N/A,25,80,N/A,61,55,N/A,52,69,61,N/A,100,81,145,134,108,N/A,94,31,54,62,64,84,68,45,77,124,108,108,113,133,40,41,88,107,87,49,42,N/A,69,60,88,66,155,90,N/A,88,67,57,65,N/A,N/A
3/5/2016,38,42,N/A,46,42,48,38,38,N/A,N/A,19,58,N/A,38,33,N/A,35,46,31,N/A,51,63,71,79,59,N/A,65,25,36,42,49,51,41,48,84,108,105,107,103,N/A,38,42,94,101,61,43,42,44,67,92,100,67,144,97,N/A,98,73,43,78,N/A,N/A
3/6/2016,34,39,N/A,47,37,43,36,36,N/A,N/A,20,49,N/A,37,29,N/A,35,41,31,N/A,51,60,64,77,50,N/A,62,25,35,44,46,49,40,60,112,125,109,109,119,67,44,40,104,78,57,39,39,42,77,98,105,80,133,93,N/A,92,73,44,79,N/A,N/A
3/7/2016,37,45,N/A,48,46,51,41,39,N/A,N/A,19,51,N/A,41,34,N/A,34,56,35,N/A,49,65,69,71,55,N/A,61,25,34,47,54,55,48,67,114,99,88,89,97,79,35,35,93,71,66,36,34,40,90,103,98,80,106,103,N/A,88,85,53,77,N/A,N/A
3/8/2016,38,43,N/A,43,38,48,39,38,N/A,N/A,17,55,N/A,39,30,N/A,35,49,34,N/A,47,65,60,78,51,N/A,61,26,23,45,54,52,51,51,84,68,72,83,64,79,33,30,86,67,63,29,32,37,89,87,81,51,94,89,N/A,74,100,51,69,N/A,N/A
3/9/2016,33,40,N/A,42,35,47,39,38,N/A,N/A,19,51,N/A,40,N/A,N/A,34,52,35,N/A,45,63,63,74,51,N/A,60,26,24,40,52,53,50,60,90,93,95,97,89,85,38,37,95,77,58,29,31,44,79,87,81,60,94,104,N/A,65,111,41,64,N/A,N/A
3/10/2016,36,37,N/A,45,40,48,40,41,N/A,N/A,21,52,N/A,29,29,N/A,33,57,36,N/A,55,68,82,87,50,N/A,57,24,30,39,52,60,53,59,110,129,103,166,139,95,38,41,98,81,72,29,36,42,97,106,98,82,138,132,56,98,109,49,70,N/A,N/A
3/11/2016,29,34,N/A,39,35,44,35,36,N/A,N/A,18,49,N/A,32,25,N/A,29,59,37,N/A,51,64,70,77,40,N/A,58,22,28,37,50,77,49,66,126,147,104,170,152,86,44,43,63,88,57,26,36,47,108,121,108,99,153,160,62,77,120,43,85,N/A,N/A
3/12/2016,33,53,N/A,41,35,43,33,35,N/A,N/A,15,48,N/A,33,33,N/A,29,55,41,N/A,60,60,61,70,41,N/A,50,23,31,35,47,55,40,57,116,122,125,122,103,65,29,35,69,69,53,27,31,29,116,136,87,90,102,130,59,80,147,41,79,N/A,N/A
3/13/2016,19,29,N/A,28,23,26,22,24,N/A,N/A,N/A,33,N/A,25,19,N/A,18,33,26,N/A,33,48,47,58,35,N/A,42,20,23,27,31,34,27,49,103,89,81,106,87,61,30,28,91,53,40,31,37,32,110,114,102,73,78,106,48,81,146,29,83,N/A,N/A
3/14/2016,23,27,N/A,30,27,33,27,29,N/A,N/A,N/A,32,N/A,32,21,N/A,21,42,27,N/A,38,53,55,66,43,N/A,48,19,23,28,37,47,38,81,123,101,98,132,94,66,26,37,99,67,43,33,38,36,116,121,107,86,108,127,59,97,141,38,83,N/A,N/A
3/15/2016,N/A,30,N/A,32,27,38,29,30,N/A,N/A,N/A,40,N/A,32,22,N/A,26,43,34,N/A,35,52,N/A,59,40,N/A,48,19,24,34,41,49,40,104,118,102,95,112,98,69,29,32,89,70,77,29,32,38,126,125,111,78,107,129,42,107,172,33,93,N/A,N/A
3/16/2016,N/A,41,N/A,45,40,45,38,38,N/A,N/A,N/A,49,N/A,27,26,N/A,33,47,43,N/A,49,63,N/A,72,53,N/A,59,24,34,39,50,53,48,91,85,108,99,115,98,69,39,39,84,64,60,32,35,39,96,132,107,63,105,128,59,100,177,47,94,N/A,N/A
3/17/2016,33,38,N/A,41,38,45,37,36,N/A,N/A,N/A,43,N/A,39,26,N/A,30,49,40,N/A,52,62,N/A,73,52,N/A,60,23,30,38,45,55,47,81,87,115,113,129,110,84,41,35,91,78,61,36,44,43,106,N/A,110,66,121,135,56,98,170,37,103,N/A,N/A
3/18/2016,35,40,N/A,46,41,50,40,41,N/A,N/A,N/A,53,N/A,41,27,N/A,35,53,45,N/A,53,N/A,83,78,46,N/A,62,23,32,43,52,64,53,79,94,112,97,135,100,82,46,48,107,84,64,40,47,48,152,198,117,59,128,128,60,116,190,45,110,N/A,N/A
3/19/2016,41,45,N/A,48,40,51,42,43,N/A,N/A,N/A,55,N/A,42,36,N/A,38,52,44,N/A,54,N/A,81,83,55,40,67,26,39,46,51,56,52,81,91,93,91,126,93,70,52,52,110,96,54,34,43,49,188,246,125,61,114,153,62,102,275,41,122,N/A,N/A
3/20/2016,37,42,N/A,46,40,46,41,42,N/A,N/A,N/A,50,N/A,38,30,N/A,35,49,44,N/A,50,N/A,62,81,52,38,60,25,35,44,48,57,49,126,131,151,116,261,143,87,38,39,104,76,56,31,39,42,180,285,166,89,126,192,63,106,264,42,124,N/A,N/A
3/21/2016,31,30,N/A,40,40,42,37,38,N/A,N/A,N/A,46,N/A,31,25,N/A,31,44,35,N/A,52,N/A,N/A,79,46,26,48,21,23,28,41,45,44,116,131,119,104,192,137,82,37,41,111,88,52,31,38,46,150,173,142,89,125,155,48,121,280,29,126,N/A,N/A
3/22/2016,39,42,N/A,48,43,52,43,44,N/A,N/A,N/A,N/A,N/A,44,37,N/A,38,54,41,N/A,54,N/A,N/A,76,99,44,58,28,32,38,46,51,48,N/A,101,106,92,116,96,86,55,55,124,93,75,33,38,45,116,150,116,77,118,110,55,115,287,41,113,N/A,N/A
3/23/2016,60,69,N/A,69,60,75,70,66,N/A,N/A,N/A,N/A,N/A,79,73,N/A,56,71,56,N/A,75,94,102,95,N/A,72,64,N/A,46,49,56,53,58,N/A,131,134,N/A,145,123,111,N/A,39,111,98,62,36,44,57,186,216,142,85,157,144,59,129,305,45,128,N/A,N/A
3/24/2016,69,83,N/A,83,72,93,77,82,N/A,N/A,N/A,N/A,N/A,86,77,N/A,71,98,79,N/A,90,95,109,107,N/A,79,72,64,48,61,64,71,69,131,142,138,105,143,132,109,53,37,117,103,74,37,45,60,288,217,159,97,145,177,68,133,310,61,158,N/A,N/A
